trial_id,experiment_id,date,timestamp,pid,hostname,node_ip,config.LR,config.mach_latent_dim,config.stoch_latent_dim,config.beta_stoch,config.beta_mach_unsup,config.beta_mach_sup,config.alpha_prof,config.alpha_mach,config.start_sup_time,config.physics,config.gamma_stored_energy,config.encoder_end_dense_size,config.dataset_choice,config.scheduler_step,config.mp_hdims_aux,config.mp_hdims_cond,config.hidden_dims,config.elm_style_choice
3f3b6_00000,83b1f873c9b74127b487ce5d21f8a1d9,2022-05-24_09-17-56,1653373076.0,987632.0,dx6-mat-32,128.214.72.230,0.003,11.0,3.0,5.0,0.0021000000000000003,10.0,305.0,200.0,500.0,False,0.0,128.0,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple
3f3b6_00001,d56b648021f64deab6390874723f4be4,2022-05-24_09-17-57,1653373077.0,987629.0,dx6-mat-32,128.214.72.230,0.003,12.0,3.0,5.0,0.0623,10.0,806.0,200.0,500.0,False,0.0,128.0,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple
3f3b6_00002,a1046026d1b64511a54352978e0fda2a,2022-05-24_09-17-58,1653373078.0,987633.0,dx6-mat-32,128.214.72.230,0.003,8.0,3.0,5.0,0.023100000000000002,10.0,194.0,200.0,500.0,False,0.0,128.0,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple
3f3b6_00003,26d279e678624812b0371fa7b4d046f3,2022-05-24_09-17-59,1653373079.0,987631.0,dx6-mat-32,128.214.72.230,0.003,6.0,3.0,5.0,0.0053,10.0,833.0,200.0,500.0,False,0.0,128.0,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple
3f3b6_00004,9364a6f87a914235a0a5298b241d6fda,2022-05-24_09-18-00,1653373080.0,987872.0,dx6-mat-32,128.214.72.230,0.003,6.0,3.0,5.0,0.0001,10.0,525.0,200.0,500.0,False,0.0,128.0,SANDBOX_NO_VARIATIONS,0.0,"[128, 128, 64, 32]","[128, 128, 64, 32]","[3, 6]",simple
3f3b6_00005,,,,,,,,,,,,,,,,,,,,,,,,
3f3b6_00006,,,,,,,,,,,,,,,,,,,,,,,,
3f3b6_00007,,,,,,,,,,,,,,,,,,,,,,,,
3f3b6_00008,,,,,,,,,,,,,,,,,,,,,,,,
3f3b6_00009,,,,,,,,,,,,,,,,,,,,,,,,
3f3b6_00010,,,,,,,,,,,,,,,,,,,,,,,,
3f3b6_00011,,,,,,,,,,,,,,,,,,,,,,,,
3f3b6_00012,,,,,,,,,,,,,,,,,,,,,,,,
